name,rank
University of Brescia,401–500
University of Brighton,401–500
University of Campinas,401–500
University of Castilla-La Mancha,401–500
China Agricultural University,401–500
Clemson University,401–500
University of Coimbra,401–500
"Colorado State University, Fort Collins",401–500
University of Côte d’Azur,401–500
Covenant University,401–500
Dalhousie University,401–500
University of Delaware,401–500
De Montfort University,401–500
University of Denver,401–500
University of Dundee,401–500
East China Normal University,401–500
University of Florence,401–500
Florida Atlantic University,401–500
Florida International University,401–500
University of Fribourg,401–500
Guangdong University of Technology,401–500
Guangzhou University,401–500
University of Guelph,401–500
Harbin Institute of Technology,401–500
University of Jaén,401–500
Jamia Millia Islamia,401–500
Jaume I University,401–500
The University of Jordan,401–500
Keio University,401–500
Kobe University,401–500
Kyushu University,401–500
Université Laval,401–500
Leeds Beckett University,401–500
Lehigh University,401–500
Leibniz University Hannover,401–500
University of Liège,401–500
University of Limerick,401–500
University of Lisbon,401–500
Liverpool John Moores University,401–500
Louisiana State University,401–500
University of Manitoba,401–500
Marche Polytechnic University,401–500
University of Messina,401–500
Middle East Technical University,401–500
University of Missouri-St Louis,401–500
Mizzou - University of Missouri,401–500
Nanjing University of Aeronautics and Astronautics,401–500
National Chengchi University,401–500
University of Nebraska-Lincoln,401–500
University of New Brunswick UNB,401–500
University of North Carolina at Charlotte,401–500
North China Electric Power University,401–500
Northumbria University,401–500
Nottingham Trent University,401–500
Oklahoma State University,401–500
Old Dominion University,401–500
The Open University,401–500
University of Oregon,401–500
Université Paris-Saclay,401–500
Parthenope University of Naples,401–500
University of Patras,401–500
Polytechnic University of Valencia,401–500
Pontificia Universidad Católica de Chile,401–500
Pontifical Catholic University of Rio Grande do Sul (PUCRS),401–500
University of Pretoria,401–500
Qingdao University,401–500
University of Regina,401–500
Roskilde University,401–500
Sabancı University,401–500
Saint Louis University,401–500
Saint Petersburg State University,401–500
University of Salford,401–500
Shanghai University of Finance and Economics (SUFE),401–500
Shenzhen University,401–500
Stevens Institute of Technology,401–500
Sumy State University,401–500
University of the Sunshine Coast,401–500
SUNY University at Albany,401–500
University of Tasmania,401–500
University of Tehran,401–500
University of Trento,401–500
Umeå University,401–500
University of Valencia,401–500
Waseda University,401–500
Western Sydney University,401–500
University of Windsor,401–500
University of the Witwatersrand,401–500
Yıldız Technical University,401–500
Yuan Ze University,401–500
Zhejiang University of Technology,401–500
University of the Aegean,501–600
University of Algarve,501–600
American University,501–600
"University of the Andes, Colombia",501–600
Autonomous University of Madrid,501–600
University of the Balearic Islands,501–600
University of Bari Aldo Moro,501–600
University of Cadiz,501–600
Carleton University,501–600
Polytechnic University of Cartagena,501–600
University of Carthage,501–600
Central University of Finance and Economics,501–600
University of Central Lancashire,501–600
Central Queensland University,501–600
Charles Sturt University,501–600
Chiang Mai University,501–600
University of Chile,501–600
"China University of Geosciences, Beijing",501–600
Chulalongkorn University,501–600
University of Colorado Denver/Anschutz Medical Campus,501–600
University of Córdoba,501–600
University of Cyprus,501–600
University of Dhaka,501–600
Donghua University,501–600
University of Eastern Finland,501–600
Universidade Federal do Rio Grande do Sul,501–600
Universidade Federal de Santa Catarina,501–600
University of Foggia,501–600
Fuzhou University,501–600
University of Genoa,501–600
University of Ghana,501–600
Glasgow Caledonian University,501–600
Université Grenoble Alpes,501–600
University of Haifa,501–600
