name,rank
Bilkent University,601–800
Boğaziçi University,601–800
Université Bourgogne Franche-Comté (UBFC),601–800
Bowling Green State University,601–800
University of Cadiz,601–800
Ca’ Foscari University of Venice,601–800
Cairo University,601–800
University of Castilla-La Mancha,601–800
Catholic University of the North,601–800
Institute of Chemical Technology,601–800
"China University of Geosciences, Beijing",601–800
"China University of Petroleum, Beijing",601–800
Chulalongkorn University,601–800
Chung-Ang University,601–800
Chung Yuan Christian University,601–800
Clemson University,601–800
University of Colorado Denver/Anschutz Medical Campus,601–800
Complutense University of Madrid,601–800
University of Concepción,601–800
Concordia University,601–800
Covenant University,601–800
University of Crete,601–800
Cyprus University of Technology,601–800
Dalian University of Technology,601–800
Delhi Technological University,601–800
Dublin City University,601–800
East China University of Science and Technology,601–800
Erciyes University,601–800
Escuela Superior Politécnica del Litoral,601–800
Fayoum University,601–800
Universidade Federal do ABC (UFABC),601–800
Federal University of Rio de Janeiro,601–800
Florida Agricultural and Mechanical University,601–800
Gabriele d‘Annunzio University,601–800
Gdańsk University of Technology,601–800
Georgetown University,601–800
University of Georgia,601–800
University of Graz,601–800
Graz University of Technology,601–800
University of Greifswald,601–800
Guangdong University of Technology,601–800
Guangxi University,601–800
University of Guilan,601–800
Guru Jambheshwar University of Science and Technology,601–800
Gwangju Institute of Science and Technology,601–800
Hasselt University,601–800
University of Hertfordshire,601–800
Hiroshima University,601–800
Howard University,601–800
HSE University,601–800
Ibn Tofaïl University,601–800
Ilia State University,601–800
Illinois Institute of Technology,601–800
Ilmenau University of Technology,601–800
"Indian Institute of Science Education and Research, Pune",601–800
Indian Institute of Technology Mandi,601–800
Inha University,601–800
University of Ioannina,601–800
Isfahan University of Technology,601–800
Jagiellonian University,601–800
Jaume I University,601–800
Jawaharlal Nehru University,601–800
Jeonbuk National University,601–800
Jilin University,601–800
University of Johannesburg,601–800
Johannes Kepler University of Linz,601–800
University of Kaiserslautern,601–800
Kalasalingam Academy of Research and Education,601–800
Karlstad University,601–800
Kazan National Research Technical University,601–800
Universiti Kebangsaan Malaysia,601–800
Keio University,601–800
King Faisal University,601–800
Kingston University,601–800
Kobe University,601–800
Konkuk University,601–800
Kyungpook National University,601–800
University of Lahore,601–800
Lahore University of Management Sciences,601–800
University of Latvia,601–800
University of León,601–800
University of Lille,601–800
University of Ljubljana,601–800
University of Lorraine,601–800
Lviv Polytechnic National University,601–800
University of Malta,601–800
University of Manitoba,601–800
University of Mannheim,601–800
Mansoura University,601–800
University of Maragheh,601–800
University of Marburg,601–800
University of Maribor,601–800
Massey University,601–800
University of Messina,601–800
Middle East Technical University,601–800
Minia University,601–800
Mississippi State University,601–800
Monterrey Institute of Technology,601–800
Murdoch University,601–800
University of Nantes,601–800
National Autonomous University of Mexico,601–800
National Central University,601–800
National Cheng Kung University (NCKU),601–800
National University of Sciences and Technology,601–800
National Sun Yat-Sen University,601–800
National Institute of Technology Silchar,601–800
University of Neuchâtel,601–800
"University of Nevada, Las Vegas",601–800
